id,role,type,production,source,style_formula,notes
dust,polvo de fondo,puntos,BufferGeometry procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",260 puntos a la deriva reciclados alrededor de la camara
ui_click,clic de interfaz,audio,asset del repo,Ui.zip/Click.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
ui_hover,foco de boton,audio,asset del repo,Ui.zip/Pasar el mouse por un boton.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
music_menu,musica de menu,audio,asset del repo,Sonidos Rocket liga.zip/Musica 1 de menu.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",entra en la carga inicial
music_aero,musica de partida 1,audio,asset del repo,frutiger aero.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",pista por defecto
music_rooftop,musica de partida 2,audio,asset del repo,School Rooftop.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",carga diferida al elegirla
sfx_bounce,rebote,audio,asset del repo,Sonidos Rocket liga.zip/Golpe caida.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",pitch aleatorio +-6%
sfx_bounce_hard,rebote con combo,audio,asset del repo,Sonidos Rocket liga.zip/Golpe fuerte.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
sfx_pass,pasar un anillo,audio,asset del repo,Sonidos Rocket liga.zip/Recoleccion de turbo.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",volumen sube con el combo
sfx_smash,romper plataforma,audio,asset del repo,Enemigos.zip/Rompe pared.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
sfx_coin,moneda,audio,asset del repo,Obtencion de cualquier item.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
sfx_fire,bola de fuego (bucle),audio,asset del repo,Combate.zip/Fuego.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",unico sfx en loop
sfx_die,derrota,audio,asset del repo,Cinematicas.zip/Muerte del player.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
sfx_win,nivel completado,audio,asset del repo,Cinematicas.zip/Victoria.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
sfx_portal,arranque de nivel,audio,asset del repo,Cinematicas.zip/Portal.mp3,"golpes secos y cortos para acciones; colas largas solo en musica y ambiente",
